	en-IE	es-ES	uniqueWordsCount_en	uniqueWordsCount_es
10	"Swingarm spools made in light alloy and Delrin, with steel screws. 
 
Kit consists of 2 pieces, one for each side."	"Diábolos de basculante fabricadas en aleación ligera y Delrin, con tornillos de acero. 
 
El kit consta de 2 piezas, una para cada lado."	20	21
11	"Combat Anti-Fog Balaclava Black Ops

Features:
• FXR Cold-Stop Omni-Stretch™ bonded fleece wind-block trilaminate construction for mid to cold weather riding
• Full coverage contoured neoprene nose mask diverts breath down, preventing fogging
• Max-comfort laser-cut breath holes in neoprene mouth vent
• Flared shoulder area increases cold weather protection
• Flat lock stitching for comfort and durability"	"Sotocasco negro 

Características:
• Estructura trilaminada de forro polar adherido Omni-Stretch de parada en frío FXR para rutas de media a baja temperatura
• La máscara nasal de neopreno de cobertura total desvía la respiración para evitar el vaho
• Orificios de aliento cortados con láser de máxima comodidad en la ventilación bucal de neopreno
• La zona del hombro acampanada aumenta la protección contra el frío
• Costuras planas para mejorar la comodidad y la longevidad"	49	53
12	"FOX Racing's Boundary women's long-sleeved shirt is a comfy top that lets you show your Fox love and keep it casual and warm on cooler days. Featuring a scoop neckline, this is perfect for either wearing by itself or under your favorite jacket.

Features:
•  Scooped neckline
• Fox head screen print
• 60% cotton, 40% polyester jersey 150g"	"La camiseta de manga larga para mujer Boundary de FOX Racing es una prenda cómoda e informal que te permite mostrar tu amor por Fox y estar abrigada en los días más fríos.  Con un escote redondo, es perfecto para llevarla sola o debajo de tu chaqueta favorita. 

Características:
• Escote redondo 
• Estampado de serigrafía Fox  
• 60% Algodón, 40% Poliéster Jersey 150g"	51	53
13	"Not totally unexpected, West Coast Choppers is a brand from the United States. Or, more specifically, from Austin, Texas. They make MC clothes with the right attitude - somewhat similar to the stuff you see in Sons of Anarchy!

Stylish and comfortable T-shirt with normal fit, made of 100% cotton.

The model in the picture is 182 cm tall, weighs 85 kg and wears a t-shirt in a size Large."	"West Coast Choppers es una marca de moteros para moteros de los Estados Unidos, en concreto afincada en Austin, Texas.¡Fabrican y diseñan ropa de moto con la personalidad propia de las Harley y con el mismo estilo que en la serie Sons of Anarchy!

Esta camiseta tiene el estilo perfecto, tiene un corte normal y está hecha 100% de algodón.

El modelo mide 182cm, pesa 85kg y lleva la talla L."	56	54
14	"Safe, robust and stylish in design - the SONUS MTB helmet is your first choice for action on the bike. No matter what terrain it takes you: With this helmet from O'NEAL you rely on a high-quality product!

Features:
• Shell is constructed with ABS
• Multiple air vents for optimal ventilation and cooling
• Matte finish
• Durable multi-colored graphics
• Ultra-plush removable, sweat absorbing and washable padded inner liner
• O`Neal Fidlock magnetic buckle (engineered in Germany) for easy, single-handed fastening and release, provides maximum security while riding
• Goggles rest securely in place on ridge at back of shell
• Optional available plastic break-away visor screws for improved safety
• Height adjustable visor 
• Airflaps compatible
• Exceeds EN1078 safety standard for bicycle Helmets"	"Diseño seguro, robusto y elegante: el casco SONUS MTB es tu primera opción para pasarlo bien con la moto. No importa el terreno, ya que este casco de O'NEAL es un producto de alta calidad.

Características:
• Calota exterior de ABS
• Múltiples salidas de aire para conseguir una ventilación y refrigeración óptimas
• Acabado mate
• Diseños multicolores resistentes
• Forro interior acolchado extraíble, absorbente del sudor y lavable.
• Hebilla magnética O`Neal Fidlock (diseñada en Alemania) para facilitar el cierre y la liberación con una sola mano, proporciona la máxima seguridad durante la conducción
• Las gafas se colocan de forma segura en su sitio en la zona trasera del casco
• Tornillos de plástico opcionales de la pantalla disponibles para mejorar la seguridad.
• Visor ajustable en altura 
• Compatible con Airflaps
• Supera la normativa de seguridad EN1078 para cascos de bicicleta"	99	101
15	"Dainese Thermo Mid Socks are the mid-length version of Dainese Thermo insulating socks, designed to ensure ergonomics and appropriate thermoregulation in colder climates. The Dryarn-Thermo hydrophobic and insulating fabric allows Thermo Socks to optimize the process of managing body heat.

Features:
• Temperature range: -20°C / 10°C
• Footbed compression for increased blood circulation
• Grip on the sole to prevent slipping inside the shoe
• Ankle support for better comfort and driving precision
• Compression lines to sustain muscles: lower vibrations and optimization of blood circulation"	"Los calcetines medios Dainese Thermo son la versión de longitud media de los calcetines aislantes Dainese Thermo, diseñados para garantizar la ergonomía y la termorregulación adecuada en climas más fríos. El tejido hidrofóbico y aislante Dryarn-Thermo permite a los calcetines Thermo optimizar el proceso de gestión del calor corporal.

Características:
• Rango de temperatura: -20°C - +10°C
• Plantilla de compresión para mejorar la circulación sanguínea
• Agarre en la suela para evitar deslizamientos dentro del calzado
• Soporte de tobillo para mejorar la comodidad y la precisión de conducción
• Líneas de compresión para mantener los músculos, disminuir vibraciones y optimizar de la circulación sanguínea"	62	65
16	"Dainese Dry Long Socks are the long version of Dainese Dry, breathable socks designed to ensure ergonomics and appropriate thermoregulation in milder climates. The Dryarn® hydrophobic fabric allows Dry Socks to optimize the sweat management process, keeping the body dry at all times and ensuring freshness and comfort.

Features:
• Ventilated mesh panel on the back of the foot: optimization of thermoregulation and breathability
• Footbed compression for increased blood circulation
• Grip on the sole to prevent slipping inside the shoe
• Ankle support for better comfort and driving precision
• Compression lines to sustain muscles: lower vibrations and optimization of blood circulation"	"Los calcetines Dainese Dry Long son la versión larga de los Dainese Dry, calcetines transpirables diseñados para garantizar la ergonomía y la adecuada termorregulación en climas más suaves. El tejido hidrofóbico Dryarn® permite que los calcetines optimicen el proceso de gestión del sudor, manteniendo el cuerpo seco en todo momento y garantizando frescura y comodidad.

Características:
• Panel de malla ventilada en la parte posterior del pie: optimización de la termorregulación y la transpirabilidad
• Plantilla de compresión para mejorar la circulación sanguínea
• Agarre en la suela para evitar deslizamientos dentro del calzado
• Soporte de tobillo para mejorar la comodidad y la precisión de conducción
• Líneas de compresión para mantener los músculos, disminuir vibraciones y optimizar de la circulación sanguínea"	69	74
17	"Dainese Dry Mid Socks are the mid-length version of Dainese Dry, breathable socks designed to ensure ergonomics and appropriate thermoregulation in milder climates. The Dryarn hydrophobic fabric allows Dry Socks to optimize the sweat management process, keeping the body dry at all times and ensuring freshness and comfort.

Features:
• Ventilated mesh panel on the back of the foot: optimization of thermoregulation and breathability
• Footbed compression for increased blood circulation
• Grip on the sole to prevent slipping inside the shoe
• Ankle support for better comfort and driving precision
• Compression lines to sustain muscles: lower vibrations and optimization of blood circulation"	"Los calcetines Dainese Dry medios son la versión de longitud media de los Dainese Dry, calcetines transpirables diseñados para garantizar la ergonomía y la adecuada termorregulación en climas más suaves. El tejido hidrofóbico Dryarn® permite que los calcetines optimicen el proceso de gestión del sudor, manteniendo el cuerpo seco en todo momento y garantizando frescura y comodidad.

Características:
• Panel de malla ventilada en la parte posterior del pie: optimización de la termorregulación y la transpirabilidad
• Plantilla de compresión para mejorar la circulación sanguínea
• Agarre en la suela para evitar deslizamientos dentro del calzado
• Soporte de tobillo para mejorar la comodidad y la precisión de conducción
• Líneas de compresión para mantener los músculos, disminuir vibraciones y optimizar de la circulación sanguínea"	70	75
18	"The Trackmaster H2O jacket is for racers that need to perform at the top level, even in the face of ugly, wet, adverse conditions. Constructed using hydratex®|Lite for minimum bulk and weight, yet maximum waterproofing, this garment has a fitted sport cut to minimize wind flap at high speeds, and multiple adjustment points to cut out the slack.

Features:
• Hydratex®|Lite waterproof liner
• Adjustment strap
• Adjustment tabs"	"La Trackmaster H2O es una chaqueta deportiva para corredores que necesitan rendir al máximo nivel, incluso en condiciones adversas, húmedas y complicadas. Confeccionada con hydratex®|Lite para conseguir el volumen y el peso mínimos, pero que ofrece la impermeabilidad máxima, esta chaqueta presenta un corte deportivo ceñido para minimizar el aleteo a altas velocidades y múltiples puntos de ajuste para reducir la holgura.

Características:
• Forro impermeable Hydratex®|Lite
• Correa de ajuste
• Lengüetas de ajuste"	55	57
19	"Acid Wash Premium fine knit jersey for maximum comfort and soft feel!

Loud and proud, the Down 'N' Dirty Tee is comfy and built to last. This acid wash print is a standout, instant classic Fox tee for your collection.

Features:
• Side seam construction maintain the integrity and structure, wash after wash
• Center front screen print"	"Un jersey de punto prémium que ofrece la máxima suavidad y confort.

La camiseta Down 'N' Dirty es cómoda y resistente y llega orgullosa y haciendo ruido por donde pasa. Su impresión de lavado corrosivo permite que la camiseta sea un clásico instantáneo y que destaque dentro de la colección de Fox.

Características:
• La estructura de costuras laterals mantiene su integridad y estructura lavado tras lavado
• Serigrafía frontal y en el centro"	45	51
